Length,ASR,Radius,line1,line2,line3,line5,angle1,angle2,angle3,angle4,corner3,corner4,springback
920,0.64,924,23,31,26,16,90,170,130,103,10,4,0.254072176
920,1.3,924,23,31,26,16,90,134,130,103,10,4,0.231976365
988,0.97,924,23,31,26,16,90,152,130,103,10,4,0.282969733
820,0.97,924,23,31,26,16,90,152,130,103,10,4,0.21690676
720,0.64,924,23,31,26,16,90,170,130,103,10,4,0.179874107
920,0.64,924,23,31,26,16,90,134,130,103,10,4,0.124393123
920,1.3,924,23,31,26,16,90,170,130,103,10,4,0.348506082
820,0.97,924,23,31,26,16,90,121,130,103,10,4,0.148436964
820,0.97,924,23,31,26,16,90,152,130,103,10,4,0.214704661
820,0.42,924,23,31,26,16,90,152,130,103,10,4,0.112307054
652,0.97,924,23,31,26,16,90,152,130,103,10,4,0.154146936
