总长,弧直比,半径,直线1,直线3,角度2,角度4,扭转回弹
921,1.31,1192,20.1,30.6,153,80.5,0.177
921,1.31,1192,20.1,30.6,153,127.5,0.259
921,1.31,1192,17.1,23.1,171,104,0.253
921,1.31,1192,20.1,30.6,117,127.5,0.176
921,1.31,1192,17.1,23.1,171,151,0.291
921,1.31,1192,23.1,23.1,171,104,0.277
921,1.31,1192,20.1,30.6,153,127.5,0.259
921,1.31,1192,17.1,38.1,171,151,0.255
921,1.31,1192,23.1,38.1,171,104,0.26
921,1.31,1192,14.1,30.6,153,127.5,0.189
921,1.31,1192,20.1,30.6,153,127.5,0.264
921,1.31,1192,17.1,38.1,135,151,0.166
921,1.31,1192,20.1,30.6,153,127.5,0.259
921,1.31,1192,20.1,15.6,153,127.5,0.241
921,1.31,1192,20.1,45.6,153,127.5,0.242
921,1.31,1192,17.1,23.1,135,151,0.163
921,1.31,1192,20.1,30.6,189,127.5,0.236
921,1.31,1192,23.1,23.1,135,104,0.163
921,1.31,1192,20.1,30.6,153,174.5,0.205
821,0.98,925,17.1,38.1,153,104,0.216997314
821,0.98,925,17.1,38.1,153,104,0.216997314
821,0.98,925,17.1,38.1,153,104,0.216997314
721,1.31,925,17.1,38.1,171,104,0.288242759
721,1.31,925,17.1,38.1,135,104,0.153444322
721,0.65,925,17.1,38.1,135,104,0.104135337
821,0.98,925,17.1,38.1,153,104,0.230209909
821,1.53,925,17.1,38.1,153,104,0.301778129
821,0.98,925,17.1,38.1,181,104,0.247840832
921,0.65,925,17.1,38.1,171,104,0.264072176
921,1.31,925,17.1,38.1,135,104,0.241976365
989,0.98,925,17.1,38.1,153,104,0.292969733
821,0.98,925,17.1,38.1,153,104,0.22690676
721,0.65,925,17.1,38.1,171,104,0.189874107
921,0.65,925,17.1,38.1,135,104,0.134393123
921,1.31,925,17.1,38.1,171,104,0.358506082
821,0.98,925,17.1,38.1,122,104,0.158436964
821,0.98,925,17.1,38.1,153,104,0.224704661
821,0.43,925,17.1,38.1,153,104,0.122307054
653,0.98,925,17.1,38.1,153,104,0.164146936
